aux_index,anon_index,label,age_diff,age_ratio,age_close,education_diff,education_ratio,education_close,industry_diff,industry_ratio,industry_close,marital_status_diff,marital_status_ratio,marital_status_close,sex_diff,sex_ratio,sex_close,overall_similarity,attack_score
373,10,1,0.0172413793103448,0.9827586206896552,0,0.875,0.125,0,0.9998089699233758,0.0001910300766242,0,0.0,1.0,1,0.0,1.0,1,0.6215899301532559,0.9583601657870213
375,130,1,0.8076923076923077,5.2,0,0.0,1.0,1,,,0,0.0,1.0,1,0.0,1.0,1,0.6384615384615385,0.9367072173661685
379,866,1,0.0,1.0,1,0.8,0.2,0,0.999878103287148,0.0001218967128519,0,0.0,1.0,1,0.0,1.0,1,0.6400243793425704,0.9725365685199221
382,631,1,0.0,1.0,1,0.5,0.5,0,0.999951220701934,4.8779298065900834e-05,0,0.0,1.0,1,0.0,1.0,1,0.7000097558596131,0.9754334574958617
385,655,1,0.0151515151515151,1.015384615384615,0,0.875,0.125,0,0.9999415149955552,5.848500444486034e-05,0,0.0,1.0,1,0.0,1.0,1,0.6219813939705859,0.9707381083700852
387,6,1,0.0333333333333333,0.9666666666666668,0,0.7,0.3,0,0.999963703018094,3.629698190595452e-05,0,0.0,1.0,1,0.0,1.0,1,0.6533405927297145,0.96524412935108
388,232,1,0.7959183673469388,4.9,0,0.0,1.0,1,,,0,0.0,1.0,1,0.0,1.0,1,0.6408163265306122,0.9367072173661685
396,976,1,0.0,1.0,1,0.7272727272727273,0.2727272727272727,0,0.999756642552156,0.000243357447844,0,0.0,1.0,1,0.0,1.0,1,0.6545941260350234,0.9787723955146429
397,702,1,0.0,1.0,1,0.9,0.1,0,,,0,0.0,1.0,1,0.0,1.0,1,0.62,0.9664370705048846
400,683,1,0.0,1.0,1,0.7777777777777778,0.2222222222222222,0,0.999428843407901,0.000571156592099,0,0.0,1.0,1,0.0,1.0,1,0.6445586757628643,0.9681656732632958
402,758,1,0.0,1.0,1,0.7,0.3,0,0.9997968346843826,0.0002031653156173,0,0.0,1.0,1,0.0,1.0,1,0.6600406330631234,0.9794944511606379
405,178,1,0.0333333333333333,0.9666666666666668,0,0.6363636363636364,0.3636363636363636,0,0.999691488951448,0.0003085110485519,0,0.0,1.0,1,0.0,1.0,1,0.6661223082703165,0.9728330987011461
407,558,1,0.0454545454545454,0.9545454545454546,0,0.7,0.3,0,0.999811802099452,0.0001881979005478,0,0.0,1.0,1,0.0,1.0,1,0.6509467304892005,0.9669959887767888
421,717,1,0.0555555555555555,0.9444444444444444,0,0.6363636363636364,0.3636363636363636,0,0.999361747393802,0.0006382526061981,0,0.0,1.0,1,0.0,1.0,1,0.6617438121374012,0.9581261071296704
423,260,1,0.0,1.0,1,0.875,0.125,0,0.999853669243714,0.0001463307562861,0,0.0,1.0,1,0.0,1.0,1,0.6250292661512573,0.9760417892756105
428,220,1,0.0,1.0,1,0.875,0.125,0,,,0,0.0,1.0,1,0.0,1.0,1,0.625,0.9664355582020256
