anon_index,max_attack_score,mean_attack_score,pair_count,risk_level
1460,0.5238245276164069,0.5238245276164069,1,critical
1461,0.521040436138713,0.521040436138713,1,high
1462,0.5055838193141095,0.5055838193141095,1,low
1463,0.514933248595303,0.514933248595303,1,medium
1464,0.513931952681972,0.513931952681972,1,medium
1465,0.514661623490829,0.514661623490829,1,medium
1466,0.5082415099270955,0.5082415099270955,1,low
1467,0.510313160686472,0.510313160686472,1,low
1468,0.5105551589131876,0.5105551589131876,1,low
1469,0.5010466084941972,0.5010466084941972,1,low
1470,0.5069132186066784,0.5069132186066784,1,low
1471,0.5141907233974911,0.5141907233974911,1,medium
1472,0.5130364361169715,0.5130364361169715,1,medium
1473,0.5071499433638266,0.5071499433638266,1,low
1474,0.5043851345287564,0.5043851345287564,1,low
1475,0.5172759662909129,0.5172759662909129,1,high
1476,0.5066995079360682,0.5066995079360682,1,low
1477,0.5113840222029974,0.5113840222029974,1,medium
1478,0.5156921481183587,0.5156921481183587,1,high
1479,0.5132048027038308,0.5132048027038308,1,medium
1480,0.5081162133598611,0.5081162133598611,1,low
1481,0.5188404916069093,0.5188404916069093,1,high
1482,0.5104389807835608,0.5104389807835608,1,low
1483,0.5025263941781672,0.5025263941781672,1,low
1484,0.5086814265442211,0.5086814265442211,1,low
1485,0.5059529442051587,0.5059529442051587,1,low
1486,0.5160992143995932,0.5160992143995932,1,high
1487,0.507094473278368,0.507094473278368,1,low
1488,0.5087593110997212,0.5087593110997212,1,low
1489,0.5080243163173933,0.5080243163173933,1,low
1490,0.501674345948659,0.501674345948659,1,low
1491,0.5139981757305484,0.5139981757305484,1,medium
1492,0.5053079203255965,0.5053079203255965,1,low
1493,0.5123712368537792,0.5123712368537792,1,medium
1494,0.5110185856493414,0.5110185856493414,1,medium
1495,0.512466937607924,0.512466937607924,1,medium
1496,0.5073841496270005,0.5073841496270005,1,low
1497,0.5083833302213397,0.5083833302213397,1,low
1498,0.5092872166973863,0.5092872166973863,1,low
1499,0.5127019790214635,0.5127019790214635,1,medium
1500,0.5199166287318735,0.5199166287318735,1,high
1501,0.5211777589307804,0.5211777589307804,1,critical
1502,0.5201156940646933,0.5201156940646933,1,high
1503,0.5119165562106596,0.5119165562106596,1,medium
1504,0.5240665784063673,0.5240665784063673,1,critical
1505,0.5126902410468749,0.5126902410468749,1,medium
1506,0.509050120265257,0.509050120265257,1,low
1507,0.5085001918197283,0.5085001918197283,1,low
1508,0.5124376163745675,0.5124376163745675,1,medium
1509,0.5116403505557134,0.5116403505557134,1,medium
1510,0.5126837379427395,0.5126837379427395,1,medium
1511,0.5037358463856104,0.5037358463856104,1,low
1512,0.5082094106217633,0.5082094106217633,1,low
1513,0.520531934193074,0.520531934193074,1,high
1514,0.5097610272252129,0.5097610272252129,1,low
1515,0.5203480353515503,0.5203480353515503,1,high
1516,0.5075923916889931,0.5075923916889931,1,low
1517,0.5066306427006747,0.5066306427006747,1,low
1518,0.5191519340205982,0.5191519340205982,1,high
1519,0.5124376163745675,0.5124376163745675,1,medium
1520,0.5026263247010392,0.5026263247010392,1,low
1521,0.5161124162212517,0.5161124162212517,1,high
1522,0.5203452129837788,0.5203452129837788,1,high
1523,0.5068758265211081,0.5068758265211081,1,low
1524,0.5185970314399334,0.5185970314399334,1,high
1525,0.5176421126193269,0.5176421126193269,1,high
1526,0.5121574288279234,0.5121574288279234,1,medium
1527,0.5093394944899637,0.5093394944899637,1,low
1528,0.5124376163745675,0.5124376163745675,1,medium
1529,0.5066989565821155,0.5066989565821155,1,low
1530,0.5151219624911035,0.5151219624911035,1,medium
1531,0.5178060662973275,0.5178060662973275,1,high
1532,0.5191809388595172,0.5191809388595172,1,high
1533,0.5070627263915507,0.5070627263915507,1,low
1534,0.5197187775149109,0.5197187775149109,1,high
1535,0.5071056944040501,0.5071056944040501,1,low
1536,0.5148875764630211,0.5148875764630211,1,medium
1537,0.509567743851883,0.509567743851883,1,low
1538,0.5124376163745675,0.5124376163745675,1,medium
1539,0.5094208354158264,0.5094208354158264,1,low
1540,0.5124376163745675,0.5124376163745675,1,medium
1541,0.5165933475428326,0.5165933475428326,1,high
1542,0.5141469762731267,0.5141469762731267,1,medium
1543,0.5204143786194594,0.5204143786194594,1,high
1544,0.5183867841931188,0.5183867841931188,1,high
1545,0.5213273041767684,0.5213273041767684,1,critical
1546,0.5135106844030316,0.5135106844030316,1,medium
1547,0.5048689737494428,0.5048689737494428,1,low
1548,0.5046418211209281,0.5046418211209281,1,low
1549,0.5178330521619691,0.5178330521619691,1,high
1550,0.50288336645779,0.50288336645779,1,low
1551,0.5140662823373559,0.5140662823373559,1,medium
1552,0.5046178760368897,0.5046178760368897,1,low
1553,0.5154550245163855,0.5154550245163855,1,medium
1554,0.5098092739280095,0.5098092739280095,1,low
1555,0.51294560553998,0.51294560553998,1,medium
1556,0.509264288593524,0.509264288593524,1,low
