pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,education_diff,education_equal,marital_status_diff,marital_status_equal,sex_diff,sex_equal,age_match,industry_match,overall_similarity,industry_diff,industry_equal,education_match,age_diff,age_equal,anon_index,aux_index,attack_score
116,0,,,49233.00006093474,49237.0,-0.0874920222712494,1.0,0.0,2.0,0,1.0,0,0.0,0.0,0.0,49233.0,0.0,0.0,0.0,0.0,,,0.8721088296217174
117,0,,,2.0,2.0,0.9986187838711752,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,,,0.05728044138339831
118,0,,,1362.0091776489614,1367.0,0.9999999981426568,5.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,1362.0,0.0,0.0,0.0,0.0,,,0.15719399903969947
119,0,,,1.0,1.0,0.9960238411119948,1.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,,,0.19532574305414893
120,0,,,2.0,2.0,0.9995437747834997,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,,,0.05728044138339831
121,0,,,2.0,2.0,0.9995437747834997,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,,,0.05728044138339831
122,0,,,10010.00044955044,10013.0,0.9999999998123366,3.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,10010.0,0.0,0.0,0.0,0.0,,,0.06448750770188603
123,0,,,2.0,2.0,0.999076724020674,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,,,0.05728044138339831
124,0,,,10.04987562112089,11.0,0.5153471216826172,10.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,,,0.822281614331541
125,0,,,2.0,2.0,0.9993606137453732,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,,,0.05728044138339831
126,0,,,2.0,2.0,0.9968410582470292,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,,,0.07234130672047417
127,0,,,7981.000062648791,7982.0,0.9999999993767436,0.0,1.0,1.0,0,0.0,1,0.0,0.0,0.4,7981.0,0.0,0.0,0.0,0.0,,,0.6069780929383367
128,0,,,2.0,2.0,0.999076724020674,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,,,0.05728044138339831
129,0,,,2.0,2.0,0.9986054207456784,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,,,0.05728044138339831
130,0,,,1.0,1.0,0.9914601339836672,1.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,,,0.2464787073818737
131,0,,,2.0,2.0,0.9964589123924024,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,,,0.07902996566504605
132,0,,,100.00999950005,102.0,0.99999999986071,1.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,100.0,0.0,0.0,0.0,0.0,,,0.7736993220175631
