pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,education_diff,education_equal,marital_status_diff,marital_status_equal,sex_diff,sex_equal,age_match,overall_similarity,education_match
135,0,,,1.0,1.0,0.9990248656871403,1.0,0.0,0.0,1,0.0,1,0,0.5,0.0
136,0,,,2.0,2.0,0.9993606137453732,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
137,0,,,2.0,2.0,0.9986054207456783,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
138,0,,,3.0,3.0,0.9981149841863164,3.0,0.0,0.0,1,0.0,1,0,0.5,0.0
139,0,,,2.0,2.0,0.9994056463070785,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
140,0,,,2.0,2.0,0.9998098045724798,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
141,0,,,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,1,0,0.5,0.0
142,0,,,2.0,2.0,0.9990767240206739,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
143,0,,,3.0,3.0,0.9994838709333603,3.0,0.0,0.0,1,0.0,1,0,0.5,0.0
144,0,,,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,1,0,0.5,0.0
145,0,,,3.0,3.0,0.9981149841863164,3.0,0.0,0.0,1,0.0,1,0,0.5,0.0
146,0,,,2.0,2.0,0.9990767240206739,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
147,0,,,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,1,0,0.5,0.0
148,0,,,3.0,3.0,0.9981149841863164,3.0,0.0,0.0,1,0.0,1,0,0.5,0.0
149,0,,,2.0,2.0,0.9968410582470292,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
150,0,,,2.0,2.0,0.9978443605023737,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
151,0,,,2.0,2.0,0.9997500937109547,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
152,0,,,2.0,2.0,0.9914573982080404,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
153,0,,,3.0,3.0,0.9995044352735957,3.0,0.0,0.0,1,0.0,1,0,0.5,0.0
154,0,,,3.0,3.0,0.9987677136415694,3.0,0.0,0.0,1,0.0,1,0,0.5,0.0
155,0,,,2.0,2.0,0.9994056463070785,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
156,0,,,2.0,2.0,0.9997313633262475,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
157,0,,,3.0,3.0,0.9995044352735957,3.0,0.0,0.0,1,0.0,1,0,0.5,0.0
158,0,,,2.0,2.0,0.9994056463070785,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
159,0,,,2.0,2.0,0.9986187838711753,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
160,0,,,3.0,3.0,0.9981149841863164,3.0,0.0,0.0,1,0.0,1,0,0.5,0.0
161,0,,,2.0,2.0,0.9997500937109547,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
162,0,,,2.0,2.0,0.999611961278529,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
163,0,,,2.0,2.0,0.9964589123924025,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
164,0,,,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,1,0,0.5,0.0
165,0,,,2.0,2.0,0.9994056463070785,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
166,0,,,1.0,1.0,0.9428090415820635,1.0,0.0,0.0,1,0.0,1,0,0.5,0.0
167,0,,,2.0,2.0,0.9990767240206739,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
168,0,,,2.0,2.0,0.9998098045724798,2.0,0.0,0.0,1,0.0,1,0,0.5,0.0
169,0,,,3.0,3.0,0.9995044352735957,3.0,0.0,0.0,1,0.0,1,0,0.5,0.0
170,0,,,3.0,3.0,0.9995044352735957,3.0,0.0,0.0,1,0.0,1,0,0.5,0.0
171,0,,,3.0,3.0,0.9987677136415694,3.0,0.0,0.0,1,0.0,1,0,0.5,0.0
