pair_index,label,orig_id,anon_id,age_match,education_match,industry_match,marital_status_match,sex_match,overall_similarity,euclidean_distance,manhattan_distance,cosine_similarity,industry_diff,industry_equal,education_diff,education_equal
8,1,8.0,8.0,0,0.0,0.0,0,0,0.0,1.4142135623730951,2.0,0.0,0.0,0.0,0.0,0.0
1012,0,,,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1028,0,,,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
732,1,732.0,732.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1196,0,,,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1244,0,,,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,1,173.0,173.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,1,199.0,199.0,0,0.0,0.0,0,0,0.0,41003.0,41003.0,0.0,0.0,0.0,0.0,0.0
1338,0,,,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
387,1,387.0,387.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
608,1,608.0,608.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
467,1,467.0,467.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,1,174.0,174.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1,37.0,37.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,0,,,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604,1,604.0,604.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,1,307.0,307.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
930,1,930.0,930.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,1,175.0,175.0,0,0.0,0.0,0,0,0.0,10712.0,10712.0,0.0,0.0,0.0,0.0,0.0
650,1,650.0,650.0,0,0.0,0.0,0,0,0.0,36002.0,36002.0,0.0,0.0,0.0,0.0,0.0
674,1,674.0,674.0,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1589,0,,,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
866,1,866.0,866.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1078,0,,,0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
904,1,904.0,904.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
756,1,756.0,756.0,0,0.0,0.0,0,0,0.0,14101.0,14101.0,0.0,0.0,0.0,0.0,0.0
692,1,692.0,692.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1441,0,,,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
575,1,575.0,575.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
