aux_index,anon_index,label,age_diff,age_ratio,age_close,education_diff,education_ratio,education_close,industry_diff,industry_ratio,industry_close,marital_status_diff,marital_status_ratio,marital_status_close,sex_diff,sex_ratio,sex_close,overall_similarity
793,802,1,0.06451612903225806,0.9354838709677419,0,0.6666666666666666,0.3333333333333333,0,,,0,0.0,1.0,1,0.0,1.0,1,0.6537634408602151
713,21,0,0.125,1.1428571428571428,0,0.7,0.3,0,0.9999779264066397,2.207359336026312e-05,0,0.0,1.0,1,0.0,1.0,1,0.635004414718672
813,316,0,0.140625,1.1636363636363636,0,0.5833333333333334,0.4166666666666667,0,,,0,1.0,0.0,0,0.5,0.5,0,0.3552083333333333
960,886,1,0.0,1.0,1,0.8333333333333334,0.16666666666666666,0,0.9996490407112775,0.00035095928872250817,0,0.0,1.0,1,0.0,1.0,1,0.6334035251910779
758,634,0,0.5081967213114754,2.033333333333333,0,0.7,0.3,0,0.9998375040623985,0.00016249593760155997,0,0.0,1.0,1,0.0,1.0,1,0.5583931549252252
262,398,1,0.5263157894736842,2.111111111111111,0,0.0,1.0,1,,,0,0.0,1.0,1,0.0,1.0,1,0.6947368421052632
330,796,0,0.8970588235294118,9.714285714285714,0,0.0,1.0,1,,,0,0.0,1.0,1,1.0,0.0,0,0.42058823529411765
501,262,0,0.28,0.72,0,0.5454545454545454,0.45454545454545453,0,,,0,0.0,1.0,1,1.0,0.0,0,0.43490909090909097
602,201,0,0.37254901960784315,0.6274509803921569,0,0.625,0.375,0,,,0,0.0,1.0,1,0.0,1.0,1,0.6004901960784313
1310,853,0,0.8108108108108109,5.285714285714286,0,0.3333333333333333,1.5,0,,,0,0.0,1.0,1,0.0,1.0,1,0.5711711711711712
837,290,0,0.574468085106383,2.35,0,0.6923076923076923,0.3076923076923077,0,,,0,0.0,1.0,1,0.5,0.5,0,0.44664484451718495
24,508,1,0.018867924528301886,0.9811320754716981,0,0.0,1.0,1,0.9999150977437226,8.490225627746058e-05,0,0.0,1.0,1,0.0,1.0,1,0.7962433955455952
806,671,0,0.46511627906976744,0.5348837209302325,0,0.5,0.5,0,,,0,1.0,0.0,0,0.5,0.5,0,0.30697674418604654
324,314,0,0.15625,1.1851851851851851,0,0.6153846153846154,0.38461538461538464,0,0.999066554653225,0.0009334453467749463,0,1.0,0.0,0,1.0,0.0,0,0.2458597659924319
464,863,1,0.0,1.0,1,0.8888888888888888,0.1111111111111111,0,0.9999166689814172,8.333101858281715e-05,0,0.0,1.0,1,0.0,1.0,1,0.6222388884259388
894,778,0,0.42857142857142855,1.75,0,0.5833333333333334,0.4166666666666667,0,0.9998185315573622,0.00018146844263782527,0,0.0,1.0,1,0.0,1.0,1,0.5976553413075751
1040,504,1,0.0,1.0,1,0.0,1.0,1,0.9999079433391252,9.205666087476842e-05,0,0.0,1.0,1,0.5,0.5,0,0.7000184113321749
129,793,1,0.5,2.0,0,0.0,1.0,1,,,0,0.0,1.0,1,0.0,1.0,1,0.7
883,800,0,0.18666666666666668,0.8133333333333334,0,0.6,0.4,0,,,0,0.0,1.0,1,0.0,1.0,1,0.6426666666666667
1003,194,0,0.24444444444444444,0.7555555555555555,0,0.7,0.3,0,,,0,0.5,0.5,0,0.5,0.5,0,0.4111111111111111
904,921,1,0.0,1.0,1,0.9230769230769231,0.07692307692307693,0,0.9998292807843329,0.0001707192156671463,0,0.0,1.0,1,0.0,1.0,1,0.6154187592277488
264,839,0,0.7666666666666667,4.285714285714286,0,0.6,2.5,0,,,0,1.0,0.0,0,1.0,0.0,0,0.12666666666666665
650,181,0,0.26229508196721313,1.3555555555555556,0,0.8,0.2,0,0.9999369721416866,6.302785831337451e-05,0,0.0,1.0,1,0.0,1.0,1,0.58755358917822
1302,86,1,0.0,1.0,1,0.8181818181818182,0.18181818181818182,0,0.9999032476537556,9.675234624439643e-05,0,0.0,1.0,1,0.0,1.0,1,0.6363829868328852
1031,643,0,0.136986301369863,0.863013698630137,0,0.875,0.125,0,0.9992199134813133,0.000780086518686618,0,0.5,0.5,0,0.0,1.0,1,0.4977587570297647
