pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,education_diff,education_equal,marital_status_diff,marital_status_equal,sex_diff,sex_equal,age_match,industry_match,overall_similarity,industry_diff,industry_equal,education_match,age_diff,age_equal,attack_score
107,1,107.0,107.0,6.082762530298219,7.0,0.7711356597650746,6.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.9651182092308862
108,1,108.0,108.0,49212.0,49212.0,-0.0969213438518326,0.0,1.0,0.0,1,0.0,1,0.0,0.0,0.6,49212.0,0.0,0.0,0.0,0.0,0.8936441178887836
109,1,109.0,109.0,5.196152422706632,7.0,0.9835488037238292,5.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9690232585327507
110,1,110.0,110.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0.0,1,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.16319007826771129
111,1,111.0,111.0,84231.00005936057,84235.0,-0.1220374544392377,3.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,84231.0,0.0,0.0,0.0,0.0,0.9685471861434949
112,1,112.0,112.0,2.449489742783178,4.0,0.9962725072187498,2.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9690304333653744
113,1,113.0,113.0,6.708203932499369,9.0,0.5897678246195885,6.0,0.0,3.0,0,0.0,1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8865829229781133
114,1,114.0,114.0,4.0,4.0,0.9941037221861876,4.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.9057084493456832
115,1,115.0,115.0,36402.00005494204,36404.0,0.9999995065716338,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,36402.0,0.0,0.0,0.0,0.0,0.8215751811000618
116,1,116.0,116.0,84111.00072523214,84123.0,-0.3161074518910649,11.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,84111.0,0.0,0.0,0.0,0.0,0.9664921868175721
117,1,117.0,117.0,10.04987562112089,11.0,0.7094756547606031,10.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8781295279307174
118,1,118.0,118.0,1.4142135623730951,2.0,0.996765700247014,1.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.965564784386781
119,1,119.0,119.0,64911.00001540571,64913.0,-0.0969729638138896,0.0,1.0,1.0,0,1.0,0,0.0,0.0,0.2,64911.0,0.0,0.0,0.0,0.0,0.967667575783333
120,1,120.0,120.0,2.449489742783178,4.0,0.994936676326182,2.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9689139422967257
121,1,121.0,121.0,1.0,1.0,0.9966617074823,0.0,1.0,0.0,1,1.0,0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.9395143559706813
122,1,122.0,122.0,4.123105625617661,5.0,0.9816135651097472,4.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.9684089518144129
