pair_index,orig_id,anon_id,label,age_missing,age_diff,age_equal,education_missing,education_diff,education_equal,industry_missing,industry_diff,industry_equal,marital_status_missing,marital_status_diff,marital_status_equal,sex_missing,sex_diff,sex_equal,similarity_score,anon_index,aux_index
1905,1905,1905,0,0,7.0,0.0,0,11.0,0.0,1,1.0,0.0,0,0.0,1.0,0,2.0,0.0,0.2,1905,1905
1699,1699,1699,0,0,17.0,0.0,0,6.0,0.0,1,1.0,0.0,0,2.0,0.0,0,2.0,0.0,0.0,1699,1699
1544,1544,1544,0,0,31.0,0.0,0,3.0,0.0,0,25924.0,0.0,0,2.0,0.0,0,0.0,1.0,0.2,1544,1544
1313,1313,1313,0,0,14.0,0.0,0,5.0,0.0,1,1.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0,1313,1313
306,306,306,1,0,42.0,0.0,1,1.0,0.0,1,1.0,0.0,0,1.0,0.0,0,0.0,1.0,0.2,306,306
1666,1666,1666,0,0,25.0,0.0,0,7.0,0.0,0,97001.0,0.0,0,7.0,0.0,0,0.0,1.0,0.2,1666,1666
862,862,862,1,0,47.0,0.0,0,3.0,0.0,1,1.0,0.0,0,1.0,0.0,0,0.0,1.0,0.2,862,862
1566,1566,1566,0,0,13.0,0.0,0,9.0,0.0,0,47109.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0,1566,1566
530,530,530,1,0,0.0,1.0,0,5.0,0.0,1,1.0,0.0,0,1.0,0.0,0,0.0,1.0,0.4,530,530
654,654,654,1,0,9.0,0.0,0,5.0,0.0,0,47105.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,654,654
1259,1259,1259,0,0,37.0,0.0,0,10.0,0.0,0,85090.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,1259,1259
233,233,233,1,0,21.0,0.0,0,9.0,0.0,0,14092.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,233,233
120,120,120,1,0,11.0,0.0,0,8.0,0.0,1,1.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,120,120
1697,1697,1697,0,0,12.0,0.0,0,4.0,0.0,1,1.0,0.0,0,2.0,0.0,0,0.0,1.0,0.2,1697,1697
949,949,949,1,0,44.0,0.0,0,0.0,1.0,1,1.0,0.0,0,2.0,0.0,0,1.0,0.0,0.2,949,949
617,617,617,1,0,1.0,0.0,0,12.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,617,617
1178,1178,1178,0,0,1.0,0.0,0,9.0,0.0,1,1.0,0.0,0,2.0,0.0,0,1.0,0.0,0.0,1178,1178
307,307,307,1,0,4.0,0.0,0,4.0,0.0,1,1.0,0.0,0,2.0,0.0,0,1.0,0.0,0.0,307,307
135,135,135,1,0,25.0,0.0,0,5.0,0.0,1,1.0,0.0,0,3.0,0.0,0,2.0,0.0,0.0,135,135
554,554,554,1,0,7.0,0.0,0,8.0,0.0,0,49214.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,554,554
1673,1673,1673,0,0,25.0,0.0,0,11.0,0.0,1,1.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0,1673,1673
583,583,583,1,0,22.0,0.0,0,10.0,0.0,1,1.0,0.0,0,1.0,0.0,0,0.0,1.0,0.2,583,583
1640,1640,1640,0,0,11.0,0.0,0,10.0,0.0,1,1.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,1640,1640
670,670,670,1,0,22.0,0.0,0,5.0,0.0,1,1.0,0.0,0,2.0,0.0,0,2.0,0.0,0.0,670,670
834,834,834,1,0,3.0,0.0,0,9.0,0.0,1,1.0,0.0,0,2.0,0.0,0,1.0,0.0,0.0,834,834
