district,sector,month,psu,snumber,hhno,nhh,result,person_serial_no,r2_school_education,type_of_school,grade_this_year,grade_last_year,distance,transport_medium,time_to_school,noschooling_reason,reason_leave_school,when_stop_schooling
11,1-2,5,PSU_RECODED_253,Grade 4,*,1,Walking,5,School too far away,_missing_,9,8,5,3,15, , , 
11,1-2,5,PSU_RECODED_253,Grade 4,*,1,Walking,6,School too far away,_missing_,4,3,5,3,15, , , 
11,1,1,PSU_RECODED_748,Grade 3,*,1,Walking,3,House keeping / Family business,_missing_, , , , , , ,99,2014
11,1,1,PSU_RECODED_748,Grade 3,*,1,Walking,4,House keeping / Family business,_missing_, , , , , , ,99,2015
11,1,1,PSU_RECODED_748,Grade 9,*,1,Walking,2,School too far away,_missing_,8,7,0,3,10, , , 
11,1,1,PSU_RECODED_748,Grade 9,*,1,Walking,3,School too far away,_missing_,7,6,0,3,10, , , 
11,1,1,PSU_RECODED_748,Grade 9,*,1,Walking,4,School too far away,_missing_,1,19,0,3,10, , , 
11,1,5,PSU_RECODED_OTHER,Grade 4,*,1,Walking,3,School too far away,_missing_,3,2,2,3,18, , , 
11,1,5,PSU_RECODED_OTHER,Grade 9,*,1,Walking,6,House keeping / Family business,_missing_, , , , , , ,6,2016
11,1,5,PSU_RECODED_OTHER,Grade 9,*,1,Walking,7,School too far away,_missing_,11,10,3,6,20, , , 
11,1,1,PSU_RECODED_OTHER,Grade 9,*,1,Walking,3,School too far away,_missing_,8,6,6,6,30, , , 
11,1,1,PSU_RECODED_OTHER,Grade 9,*,1,Walking,4,School too far away,_missing_,5,3,2,3,10, , , 
11,1,5,PSU_RECODED_OTHER,Grade 4,*,1,Walking,3,House keeping / Family business,_missing_, , , , , , ,99,2018
11,1,5,PSU_RECODED_OTHER,Grade 8,*,1,Walking,5,School too far away,_missing_,3,2,6,2,20, , , 
11,1,5,PSU_RECODED_511,Grade 4,*,1,Walking,4,School too far away,_missing_,6,5,2,5,20, , , 
